"URN","Alignment","Text-Deformation","Editorial-Status","prv","nxt"
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:1.1","urn:cts:ctsDemo:tufts.cle395.dipl:1@M[1]","Dis","tei:supplied","",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:1.1","urn:cts:ctsDemo:tufts.cle395.dipl:1@M[1]","Manibus","tei:expan",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:2.1","urn:cts:ctsDemo:tufts.cle395.dipl:2@CORELLIA[1]","Corellia","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:2.2","urn:cts:ctsDemo:tufts.cle395.dipl:2@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:2.3","urn:cts:ctsDemo:tufts.cle395.dipl:2@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:2.4","urn:cts:ctsDemo:tufts.cle395.dipl:2@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:3.1","urn:cts:ctsDemo:tufts:cle395.dipl:3@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:3.2","urn:cts:ctsDemo:tufts:cle395.dipl:3@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:3.3","urn:cts:ctsDemo:tufts:cle395.dipl:3@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:3.4","urn:cts:ctsDemo:tufts:cle395.dipl:3@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:4.1","urn:cts:ctsDemo:tufts.cle395.dipl:4@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:4.2","urn:cts:ctsDemo:tufts.cle395.dipl:4@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:4.3","urn:cts:ctsDemo:tufts.cle395.dipl:4@","","",
