"URN","Alignment","Text-Deformation","Editorial-Status",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:5.1","urn:cts:ctsDemo:tufts.cle395.dipl:5@QUOS[1]","quos",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:5.2","urn:cts:ctsDemo:tufts.cle395.dipl:5@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:5.3","urn:cts:ctsDemo:tufts.cle395.dipl:5@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:5.4","urn:cts:ctsDemo:tufts.cle395.dipl:5@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:6.1","urn:cts:ctsDemo:tufts.cle395.dipl:6@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:6.2","urn:cts:ctsDemo:tufts.cle395.dipl:6@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:6.3","urn:cts:ctsDemo:tufts.cle395.dipl:6@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:6.4","urn:cts:ctsDemo:tufts.cle395.dipl:6@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:7.1","urn:cts:ctsDemo:tufts.cle395.dipl:7@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:7.2","urn:cts:ctsDemo:tufts.cle395.dipl:7@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:7.3","urn:cts:ctsDemo:tufts.cle395.dipl:7@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:7.4","urn:cts:ctsDemo:tufts.cle395.dipl:7@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:8.2","urn:cts:ctsDemo:tufts.cle395.dipl:8@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:8.3","urn:cts:ctsDemo:tufts.cle395.dipl:8@","","",
