"URN","Alignment","Text-Deformation","Editorial-Status","prv","nxt"
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:9.1","urn:cts:ctsDemo:tufts.cle395.dipl:9@SPE[1]","spe","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:9.2","urn:cts:ctsDemo:tufts.cle395.dipl:9@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:9.3","urn:cts:ctsDemo:tufts.cle395.dipl:9@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:10.1","urn:cts:ctsDemo:tufts.cle395.dipl:10@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:10.2","urn:cts:ctsDemo:tufts.cle395.dipl:10@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:10.3","urn:cts:ctsDemo:tufts.cle395.dipl:10@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:11.1","urn:cts:ctsDemo:tufts.cle395.dipl:11@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:11.2","urn:cts:ctsDemo:tufts.cle395.dipl:11@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:11.3","urn:cts:ctsDemo:tufts.cle395.dipl:11@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:12.1","urn:cts:ctsDemo:tufts.cle395.dipl:12@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:12.2","urn:cts:ctsDemo:tufts.cle395.dipl:12@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:12.3","urn:cts:ctsDemo:tufts.cle395.dipl:12@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:12.4","urn:cts:ctsDemo:tufts.cle395.dipl:12@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:12.5","urn:cts:ctsDemo:tufts.cle395.dipl:12@","","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:12.6","urn:cts:ctsDemo:tufts.cle395.dipl:12@","","",
