"URN","Alignment","Text-Deformation1","Analysis",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.1.1","urn:cts:ctsDemo:tufts.cle395.dipl:3@SEC[1]","Sec","—",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.1.2","urn:cts:ctsDemo:tufts.cle395.dipl:3@RE[1]","re","⏑",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.1.3","urn:cts:ctsDemo:tufts.cle395.dipl:3@TI[1]","ti","⏑",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.2.1","urn:cts:ctsDemo:tufts.cle395.dipl:3@MA[1]","Ma","—",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.2.2","urn:cts:ctsDemo:tufts.cle395.dipl:3@NES[1]","nes","—",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.3.1","urn:cts:ctsDemo:tufts.cle395.dipl:3@QUI[1]","qui","—",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.3.2","urn:cts:ctsDemo:tufts.cle395.dipl:3@REG[1]","reg","—",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.4.1","urn:cts:ctsDemo:tufts.cle395.dipl:3@NA[1]","na","—",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.4.2","urn:cts:ctsDemo:tufts.cle395.dipl:4@ACH[1]","Ach","⏑",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.4.3","urn:cts:ctsDemo:tufts.cle395.dipl:4@ER[1]","er","⏑",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.5.1","urn:cts:ctsDemo:tufts.cle395.dipl:4@U[1]","u","—",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.5.2","urn:cts:ctsDemo:tufts.cle395.dipl:4@SI[1]","si","⏑",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.5.3","urn:cts:ctsDemo:tufts.cle395.dipl:4@A[2]","a","⏑",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.6.1","urn:cts:ctsDemo:tufts.cle395.dipl:4@DI[1]","Di","—",
"urn:cts:ctsDemo:tufts:cle395.dipl.poetry:3.1.6.2","urn:cts:ctsDemo:tufts.cle395.dipl:4@TIS[1]","tis","—",

"urn:cts:ctsdemo:tufts:cle395.dipl.poetry:4.1.1.1","urn:cts:ctsdemo:tufts.cle395.dipl:4@IN[1]","in","—",
"…","…","…","…",
"urn:cts:ctsdemo:tufts:cle395.dipl.poetry:6.1.1.1","urn:cts:ctsdemo:tufts.cle395.dipl:6@EX[1]","ex","—",
"…","…","…","…",
"urn:cts:ctsdemo:tufts:cle395.dipl.poetry:8.1.1.1","urn:cts:ctsdemo:tufts.cle395.dipl:8@N[1]","in","—",
"…","…","…","…",
"urn:cts:ctsdemo:tufts:cle395.dipl.poetry:10.1.1.1","urn:cts:ctsdemo:tufts.cle395.dipl:10@SUP[1]","sup","—",
"…","…","…","…",
